46520,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
4707713,43,2014-05-28,Superhost,2,Centro Storico,2,1,Entire home,4,100,344,4.87,4.9,4.85,4.87,4.89,4.96,4.86,3.15,Firenze,Early Winter,1,private,"43.76703, 11.25076",2024-12-15
4716146,23,2010-05-21,Superhost,15,Centro Storico,6,3,Entire home,7,311,110,4.77,4.88,4.85,4.95,4.89,4.98,4.8,1.01,Firenze,Early Winter,3,private,"43.77045, 11.25141",2024-12-15
4228146,0,2014-09-30,Host,4,Centro Storico,3,2,Entire home,5,150,1,5,5,5,5,5,4,5,0.01,Firenze,Early Winter,2,private,"43.76797, 11.26619",2024-12-15
4721433,12,2014-02-15,Superhost,3,Centro Storico,6,3,Entire home,6,144,112,4.83,4.88,4.88,4.78,4.89,4.86,4.84,1.03,Firenze,Early Winter,2,private,"43.76953, 11.26257",2024-12-15
4723614,0,2014-12-02,Host,5,Centro Storico,1,1,Entire home,2,71,50,4.62,4.72,4.78,4.9,4.86,4.84,4.56,0.47,Firenze,Early Winter,1,private,"43.77478, 11.24855",2024-12-15
4727977,2,2014-06-22,Host,17,Centro Storico,4,2,Entire home,5,215,4,4.75,5,4.75,5,4.75,5,4.5,0.04,Firenze,Early Winter,1,private,"43.77033, 11.26222",2024-12-15
4230920,15,2013-10-26,Superhost,11,Centro Storico,4,2,Entire home,6,186,236,4.74,4.84,4.86,4.91,4.93,4.88,4.74,2.23,Firenze,Early Winter,2,private,"43.77397, 11.2479",2024-12-15
4231275,12,2014-09-30,Superhost,2,Centro Storico,1,1,Entire home,2,69,69,4.86,4.91,4.93,4.99,4.99,4.97,4.74,0.63,Firenze,Early Winter,1,private,"43.76955, 11.26565",2024-12-15
4729726,0,2012-11-15,Host,160,Centro Storico,4,2,Entire home,6,219,8,4.38,4.63,4,4.75,4.25,4.88,4.5,0.08,Firenze,Early Winter,1,private,"43.77506, 11.25511",2024-12-15
4731063,0,2018-05-16,Host,4,Centro Storico,2,1,Entire home,4,65,144,4.22,4.4,4.2,4.58,4.6,4.89,4.36,1.39,Firenze,Early Winter,2,private,"43.77597, 11.25483",2024-12-15
4735566,7,2014-11-17,Host,4,Campo di Marte,1,1,Entire home,2,108,12,4.5,4.58,4.58,4.92,4.92,4.5,4.08,0.17,Firenze,Early Winter,1,private,"43.76897048950195, 11.274044036865234",2024-12-15
4234656,30,2014-09-30,Superhost,2,Centro Storico,2,1,Entire home,4,274,190,4.96,4.96,4.96,4.99,4.99,4.96,4.89,2.06,Firenze,Early Winter,2,private,"43.76565, 11.25352",2024-12-15
4743897,0,2014-11-29,Host,1,Campo di Marte,2,1,Entire home,4,73,71,4.75,4.75,4.86,4.75,4.8,4.4,4.72,0.66,Firenze,Early Winter,1,private,"43.80322, 11.27049",2024-12-15
4751284,16,2011-09-20,Superhost,48,Centro Storico,2,1,Entire home,3,181,321,4.79,4.82,4.83,4.96,4.95,4.96,4.76,3,Firenze,Early Winter,1,private,"43.76858, 11.25366",2024-12-15
