46520,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
46520,7,2011-02-07,Host,44,Centro Storico,2,1,Private room,3,90,102,4.71,4.82,4.86,4.96,4.93,4.87,4.77,0.63,Firenze,Early Winter,1,private,"43.77699, 11.25216",2024-12-15
46523,17,2011-02-07,Host,44,Centro Storico,1,1,Private room,1,68,258,4.65,4.82,4.89,4.86,4.85,4.81,4.67,1.61,Firenze,Early Winter,1,private,"43.77704, 11.25217",2024-12-15
46524,21,2011-02-07,Host,44,Centro Storico,2,1,Private room,3,93,108,4.71,4.79,4.83,4.89,4.85,4.88,4.72,0.7,Firenze,Early Winter,1,private,"43.777, 11.25216",2024-12-15
47498,11,2010-08-28,Superhost,4,Centro Storico,1,1,Private room,3,65,521,4.57,4.62,4.62,4.88,4.88,4.94,4.59,3.24,Firenze,Early Winter,2,shared,"43.77386, 11.25028",2024-12-15
249512,1,2011-09-29,Host,2,Campo di Marte,6,3,Entire home,10,6399,4,5,5,5,5,5,4.75,5,0.05,Firenze,Early Winter,4,private,"43.76736, 11.27223",2024-12-15
48372,12,2010-07-15,Host,12,Centro Storico,1,1,Private room,1,68,22,4.52,4.61,4.74,4.74,4.83,4.96,4.57,0.15,Firenze,Early Winter,0,private,"43.77525, 11.25258",2024-12-15
52543,16,2010-08-16,Host,4,Isolotto Legnaia,3,2,Entire home,5,90,214,4.74,4.85,4.72,4.89,4.85,4.65,4.71,1.39,Firenze,Early Winter,2,private,"43.77175, 11.2364",2024-12-15
46520,4,2010-08-16,Host,4,Isolotto Legnaia,2,1,Entire home,4,66,209,4.76,4.9,4.81,4.91,4.89,4.72,4.8,1.41,Firenze,Early Winter,1,private,"43.77164, 11.23819",2024-12-15
57542,14,2010-10-29,Superhost,28,Centro Storico,1,1,Entire home,4,120,130,4.49,4.63,4.68,4.56,4.72,4.72,4.48,0.83,Firenze,Early Winter,1,private,"43.77236, 11.24787",2024-12-15
250470,17,2011-10-19,Superhost,1,Centro Storico,2,1,Entire home,4,120,149,4.9,4.91,4.95,4.95,4.95,4.66,4.84,1.06,Firenze,Early Winter,1,private,"43.78118, 11.23266",2024-12-15
57644,13,2010-10-30,Superhost,9,Centro Storico,3,2,Entire home,4,106,102,4.82,4.9,4.84,4.93,4.85,4.96,4.85,0.68,Firenze,Early Winter,1,private,"43.77713, 11.26182",2024-12-15
57767,22,2010-10-30,Superhost,9,Centro Storico,3,2,Entire home,8,221,116,4.91,4.96,4.96,4.89,4.88,4.93,4.89,0.78,Firenze,Early Winter,2,private,"43.76728, 11.25066",2024-12-15
57859,17,2010-10-29,Superhost,28,Centro Storico,1,1,Entire home,3,130,199,4.7,4.77,4.8,4.76,4.84,4.95,4.66,1.3,Firenze,Early Winter,1,private,"43.77613, 11.25492",2024-12-15
60838,17,2010-11-21,Superhost,1,Centro Storico,2,1,Entire home,4,126,116,4.91,4.91,4.96,4.97,5,4.9,4.85,0.75,Firenze,Early Winter,2,private,"43.77263, 11.26316",2024-12-15
251811,23,2010-10-29,Superhost,28,Centro Storico,6,3,Entire home,6,279,203,4.78,4.79,4.84,4.82,4.83,4.83,4.75,1.39,Firenze,Early Winter,1,private,"43.7733, 11.24754",2024-12-15
46520,29,2010-03-21,Host,3,Centro Storico,1,1,Entire home,2,85,196,4.84,4.87,4.9,4.96,4.97,4.92,4.82,1.28,Firenze,Early Winter,1,private,"43.77089, 11.25966",2024-12-15
255154,15,2011-10-27,Host,2,Campo di Marte,4,2,Entire home,4,129,215,4.77,4.84,4.91,4.89,4.89,4.54,4.71,1.68,Firenze,Early Winter,2,private,"43.76813583209722, 11.280788866715431",2024-12-15
66045,0,2010-12-20,Superhost,4,Campo di Marte,2,1,Entire home,4,,96,4.64,4.74,4.7,4.93,4.91,4.52,4.6,0.61,Firenze,Early Winter,1,private,"43.78262, 11.26856",2024-12-15
261609,1,2011-11-05,Superhost,6,Centro Storico,1,,Private room,2,83,10,4.38,4.75,4.88,4.5,5,4.88,4.75,0.07,Firenze,Early Winter,1,private,"43.77455, 11.23997",2024-12-15
66353,8,2010-12-20,Superhost,4,Centro Storico,3,2,Entire home,5,113,31,4.7,4.9,4.83,4.93,4.93,4.86,4.76,0.2,Firenze,Early Winter,3,private,"43.77055, 11.26723",2024-12-15
66598,11,2010-12-20,Superhost,4,Centro Storico,4,2,Entire home,6,133,142,4.87,4.9,4.93,4.94,4.95,4.94,4.86,0.94,Firenze,Early Winter,2,private,"43.76787, 11.26324",2024-12-15
66903,13,2010-12-28,Superhost,1,Centro Storico,2,1,Entire home,4,120,28,4.93,4.93,4.86,4.96,5,5,4.79,0.18,Firenze,Autumn,1,private,"43.77591, 11.25846",2024-12-15
264971,0,2011-11-09,Host,2,Campo di Marte,1,1,Private room,2,1000,80,4.8,4.95,4.92,4.82,4.87,4.46,4.75,0.55,Firenze,Early Winter,1,private,"43.76999, 11.30511",2024-12-15
270205,19,2011-11-16,Superhost,2,Centro Storico,1,1,Entire home,2,120,204,4.81,4.85,4.91,4.96,4.97,4.95,4.77,1.43,Firenze,Early Winter,1,private,"43.77299, 11.26279",2024-12-15
67725,0,2010-07-15,Host,12,Centro Storico,2,1,Private room,3,114,9,4.1,4,4.4,4.7,4.6,4.9,4.2,0.08,Firenze,Early Winter,1,private,"43.77525, 11.25258",2024-12-15
68273,0,2011-01-07,Host,8,Centro Storico,1,1,Entire home,3,124,40,4.98,4.96,5,4.88,5,4.92,4.92,0.26,Firenze,Early Winter,2,private,"43.77931, 11.25805",2024-12-15
70885,6,2010-07-15,Host,12,Centro Storico,2,1,Private room,2,83,32,4.38,4.5,4.5,4.69,4.47,4.84,4.25,0.21,Firenze,Early Winter,0,private,"43.77525, 11.25258",2024-12-15
71605,3,2010-07-15,Host,12,Centro Storico,2,1,Private room,2,95,25,4.21,4.24,4.4,4.64,4.48,4.84,4.24,0.16,Firenze,Early Winter,1,private,"43.77525, 11.25258",2024-12-15
73345,23,2011-02-08,Superhost,7,Centro Storico,2,1,Entire home,4,115,153,4.68,4.79,4.75,4.76,4.85,4.95,4.67,1.65,Firenze,Early Winter,1,private,"43.76971, 11.2518",2024-12-15
73739,2,2011-02-10,Superhost,1,Isolotto Legnaia,2,1,Entire home,4,105,46,4.56,4.64,4.59,4.41,4.7,4.77,4.5,0.3,Firenze,Early Winter,1,private,"43.76988, 11.23978",2024-12-15
271153,44,2010-10-18,Host,15,Campo di Marte,1,1,Entire home,2,66,369,4.48,4.52,4.81,4.74,4.62,4.51,4.4,2.54,Firenze,Early Winter,1,private,"43.78202, 11.32323",2024-12-15
74682,74,2011-02-10,Host,1,Centro Storico,1,1,Entire home,2,69,1035,4.76,4.87,4.82,4.84,4.87,4.9,4.81,6.7,Firenze,Early Winter,1,private,"43.77243, 11.24519",2024-12-15
77570,97,2011-03-01,Superhost,3,Centro Storico,3,2,Entire home,4,,720,4.93,4.95,4.94,4.99,4.97,4.99,4.92,5.41,Firenze,Early Winter,2,private,"43.77272, 11.25914",2024-12-15
273691,23,2011-06-21,Host,14,Centro Storico,2,1,Private room,4,81,725,4.81,4.81,4.79,4.91,4.89,4.93,4.81,4.97,Firenze,Early Winter,1,private,"43.77531, 11.25456",2024-12-15
80692,0,2012-11-15,Host,160,Centro Storico,1,1,Entire home,4,180,2,4.5,4.5,4.5,5,5,5,4,0.02,Firenze,Early Winter,1,private,"43.77556, 11.26009",2024-12-15
80693,0,2012-11-15,Host,160,Centro Storico,4,,Entire home,6,257,11,4.45,4.36,4.55,4,4.27,4.91,4.27,0.11,Firenze,Early Winter,1,private,"43.77556, 11.26009",2024-12-15
80694,2,2012-11-15,Host,160,Centro Storico,4,2,Entire home,6,226,26,4.32,4.46,4.35,4.65,4.73,5,4.19,0.17,Firenze,Early Winter,1,private,"43.77556, 11.26009",2024-12-15
279009,40,2009-10-15,Superhost,1,Centro Storico,2,1,Entire home,2,123,323,4.74,4.86,4.9,4.82,4.92,4.85,4.69,2.35,Firenze,Early Winter,1,private,"43.77326, 11.24596",2024-12-15
279656,14,2010-10-29,Superhost,28,Centro Storico,4,2,Entire home,2,187,58,4.81,4.79,4.88,4.79,4.84,4.91,4.79,0.41,Firenze,Early Winter,2,private,"43.764389, 11.261067",2024-12-15
82626,1,2010-07-15,Host,12,Centro Storico,2,1,Private room,2,83,19,4.42,4.56,4.5,4.72,4.72,4.78,4.17,0.12,Firenze,Early Winter,0,private,"43.77525, 11.25258",2024-12-15
83045,21,2011-02-23,Host,3,Centro Storico,5,3,Entire home,10,450,227,4.7,4.84,4.62,4.82,4.86,4.9,4.78,1.64,Firenze,Early Winter,3,private,"43.76807, 11.25997",2024-12-15
281491,24,2011-12-03,Host,11,Centro Storico,2,1,Entire home,3,95,72,4.13,4.38,4.29,4.36,4.31,4.9,4.22,0.5,Firenze,Early Winter,1,private,"43.77453, 11.25684",2024-12-15
296113,57,2011-12-22,Superhost,12,Centro Storico,2,1,Entire home,4,110,291,4.83,4.92,4.85,4.92,4.94,4.98,4.85,2.06,Firenze,Early Winter,1,private,"43.7681, 11.2564",2024-12-15
297891,14,2010-06-29,Host,5,Centro Storico,1,1,Entire home,3,85,45,4.64,4.59,4.61,4.86,4.89,4.98,4.55,0.31,Firenze,Early Winter,1,private,"43.7689, 11.24409",2024-12-15
83281,42,2011-03-21,Superhost,1,Centro Storico,1,1,Entire home,2,66,46,4.83,4.8,4.85,4.96,4.96,5,4.76,0.72,Firenze,Early Winter,1,private,"43.76947, 11.254953",2024-12-15
84726,13,2010-06-29,Host,5,Centro Storico,1,1,Entire home,3,99,111,4.65,4.74,4.79,4.82,4.83,4.8,4.65,0.72,Firenze,Early Winter,1,private,"43.76207, 11.24275",2024-12-15
298143,41,2011-09-20,Superhost,48,Centro Storico,1,1,Entire home,2,129,533,4.78,4.88,4.9,4.94,4.94,4.94,4.78,3.74,Firenze,Early Winter,1,private,"43.77203, 11.25575",2024-12-15
84829,25,2011-03-26,Superhost,2,Centro Storico,2,1,Entire home,4,137,133,4.96,4.98,4.98,4.98,4.98,4.98,4.92,0.87,Firenze,Early Winter,1,private,"43.77358, 11.25723",2024-12-15
89856,26,2011-04-06,Host,44,Centro Storico,3,2,Entire home,4,179,166,4.86,4.91,4.89,4.93,4.91,4.94,4.79,1.18,Firenze,Early Winter,1,private,"43.76801, 11.26212",2024-12-15
90557,25,2011-04-07,Superhost,4,Campo di Marte,3,2,Entire home,2,88,91,4.85,4.86,4.88,4.9,4.89,4.85,4.74,0.78,Firenze,Early Winter,2,private,"43.77017, 11.27702",2024-12-15
94913,80,2011-04-13,Host,13,Centro Storico,2,1,Private room,3,106,486,4.74,4.83,4.79,4.86,4.83,4.91,4.79,3.19,Firenze,Autumn,1,private,"43.76971, 11.24542",2024-12-15
105652,0,2013-02-10,Host,5,Centro Storico,7,3,Entire home,10,150,408,4.65,4.68,4.52,4.86,4.87,4.93,4.73,2.66,Firenze,Early Winter,2,private,"43.77598, 11.2548",2024-12-15
106407,3,2012-11-15,Host,160,Centro Storico,7,3,Entire home,10,415,41,4.4,4.41,4.59,4.49,4.73,4.85,4.34,0.27,Firenze,Early Winter,2,private,"43.76977, 11.26376",2024-12-15
109302,15,2011-05-07,Host,1,Centro Storico,1,1,Private room,2,75,122,4.85,4.84,4.88,4.91,4.87,4.94,4.86,0.81,Firenze,Early Winter,1,private,"43.77082, 11.25711",2024-12-15
316854,14,2012-01-19,Host,3,Campo di Marte,2,1,Entire home,3,93,149,4.92,4.88,4.92,4.94,4.95,4.87,4.92,1.09,Firenze,Early Winter,1,private,"43.79101, 11.29321",2024-12-15
316984,1,2010-07-15,Host,12,Centro Storico,1,,Entire home,2,231,28,4.39,4.32,4.36,4.82,4.86,4.89,4.21,0.22,Firenze,Early Winter,1,private,"43.77525, 11.25259",2024-12-15
122324,8,2011-05-22,Superhost,5,Campo di Marte,9,4,Entire home,12,826,32,4.88,4.81,4.69,4.91,4.97,4.69,4.75,0.23,Firenze,Early Winter,6,private,"43.80993910508455, 11.273253396410809",2024-12-15
124134,19,2011-05-23,Host,3,Isolotto Legnaia,4,2,Entire home,6,116,218,4.62,4.75,4.7,4.89,4.92,4.56,4.69,1.44,Firenze,Early Winter,2,private,"43.77423, 11.23028",2024-12-15
339138,0,2011-08-31,Host,16,Campo di Marte,1,1,Private room,1,52,21,4.85,4.9,4.9,4.95,4.95,4.65,4.8,0.15,Firenze,Early Winter,1,shared,"43.77893, 11.26936",2024-12-15
128095,1,2011-05-27,Host,7,Centro Storico,1,1,Private room,2,106,150,4.75,4.71,4.81,4.92,4.84,4.74,4.76,1.06,Firenze,Early Winter,1,private,"43.77412, 11.24568",2024-12-15
341907,0,2012-02-11,Host,1,Centro Storico,4,2,Entire home,4,150,229,4.89,4.86,4.96,4.97,4.98,4.88,4.91,1.6,Firenze,Early Winter,2,private,"43.76957, 11.26455",2024-12-15
129927,0,2011-05-29,Host,2,Centro Storico,1,1,Entire home,2,160,105,4.82,4.78,4.86,4.79,4.91,4.96,4.75,0.7,Firenze,Early Winter,1,private,"43.77471850305955, 11.2559369778253",2024-12-15
343773,46,2012-02-13,Superhost,8,Centro Storico,2,1,Entire home,4,139,463,4.98,4.96,4.97,4.99,4.97,4.93,4.97,3.33,Firenze,Early Winter,1,private,"43.77427, 11.26205",2024-12-15
132401,62,2011-06-01,Superhost,4,Centro Storico,2,1,Entire home,3,86,269,4.69,4.67,4.71,4.79,4.84,4.75,4.71,1.77,Firenze,Early Winter,1,private,"43.77059, 11.26509",2024-12-15
345815,0,2012-02-15,Host,1,Campo di Marte,3,2,Entire home,6,100,1,5,5,5,5,5,4,4,0.01,Firenze,Early Winter,3,private,"43.81893, 11.28034",2024-12-15
132955,0,2011-06-01,Host,6,Centro Storico,2,1,Private room,2,40,54,4.6,4.54,4.69,4.8,4.76,4.56,4.5,0.36,Firenze,Early Winter,1,private,"43.76035, 11.24044",2024-12-15
133197,71,2011-06-01,Superhost,1,Centro Storico,1,1,Private room,2,79,594,4.78,4.75,4.81,4.91,4.91,4.65,4.71,3.9,Firenze,Early Winter,1,private,"43.78213, 11.24163",2024-12-15
346237,4,2012-02-15,Host,5,Campo di Marte,3,2,Entire home,4,196,24,4.63,4.71,4.83,4.83,4.67,4.79,4.67,0.3,Firenze,Early Winter,1,private,"43.77133, 11.31963",2024-12-15
133411,7,2010-07-15,Host,12,Centro Storico,2,1,Private room,2,95,23,4.61,4.61,4.48,4.78,4.83,4.91,4.61,0.19,Firenze,Autumn,1,private,"43.77533, 11.25254",2024-12-15
136910,9,2011-06-06,Superhost,6,Centro Storico,1,1,Entire home,1,86,77,4.9,4.93,4.84,4.93,4.96,4.95,4.84,0.61,Firenze,Early Winter,1,private,"43.77111, 11.24893",2024-12-15
346238,3,2012-02-15,Host,5,Campo di Marte,1,1,Entire home,2,159,26,4.65,4.88,4.92,4.85,4.85,4.46,4.65,0.29,Firenze,Early Winter,1,private,"43.77119, 11.31819",2024-12-15
346239,1,2012-02-15,Host,5,Campo di Marte,2,1,Entire home,4,176,35,4.8,4.88,4.97,4.97,5,4.85,4.82,0.34,Firenze,Early Winter,1,private,"43.77149, 11.31847",2024-12-15
138936,5,2011-04-21,Host,1,Centro Storico,1,1,Private room,2,51,101,4.75,4.7,4.76,4.91,4.94,4.84,4.71,0.68,Firenze,Early Winter,1,private,"43.77579, 11.24643",2024-12-15
347062,2,2012-02-16,Host,5,Isolotto Legnaia,7,3,Entire home,10,341,14,4.79,4.69,4.79,4.93,4.93,4.86,4.71,0.11,Firenze,Early Winter,2,private,"43.77217, 11.23438",2024-12-15
141661,7,2011-06-11,Superhost,9,Centro Storico,8,3,Entire home,9,254,53,4.88,4.87,4.85,4.92,4.94,4.92,4.85,0.38,Firenze,Early Winter,2,private,"43.77255, 11.26408",2024-12-15
347729,0,2011-06-22,Host,4,Rifredi,5,3,Entire home,8,290,83,4.78,4.84,4.93,4.84,4.92,4.3,4.78,0.59,Firenze,Early Winter,3,private,"43.8026, 11.2378",2024-12-15
142389,0,2012-11-15,Host,160,Centro Storico,2,1,Entire home,4,149,1,5,5,5,5,4,5,4,0.01,Firenze,Early Winter,1,private,"43.76958, 11.26351",2024-12-15
142416,0,2012-11-15,Host,160,Centro Storico,2,1,Entire home,4,256,11,4.27,4.64,4,4.55,5,4.91,4.45,0.14,Firenze,Early Winter,1,private,"43.7702, 11.26215",2024-12-15
146732,0,2011-06-16,Host,2,Centro Storico,2,,Entire home,4,150,11,4.73,5,4.91,5,5,4.82,4.82,0.15,Firenze,Early Winter,1,private,"43.7622, 11.2431",2024-12-15
351439,51,2012-02-20,Superhost,4,Centro Storico,1,1,Entire home,4,,219,4.9,4.94,4.95,4.91,4.94,4.98,4.9,1.54,Firenze,Early Winter,1,private,"43.76779, 11.25987",2024-12-15
354097,31,2012-02-22,Superhost,7,Centro Storico,2,1,Entire home,4,176,176,4.87,4.89,4.93,4.98,4.98,4.65,4.81,1.24,Firenze,Early Winter,2,private,"43.76196, 11.24245",2024-12-15
354112,6,2012-02-22,Superhost,7,Centro Storico,2,1,Entire home,4,184,77,4.89,4.92,4.93,4.95,4.97,4.79,4.81,0.54,Firenze,Early Winter,1,private,"43.76196, 11.24245",2024-12-15
147220,9,2012-11-15,Host,160,Centro Storico,5,3,Entire home,6,401,85,4.52,4.65,4.73,4.63,4.69,4.98,4.49,0.57,Firenze,Early Winter,2,private,"43.77569, 11.25229",2024-12-15
359054,2,2012-02-22,Superhost,7,Centro Storico,2,1,Entire home,4,154,96,4.87,4.95,4.89,4.95,4.91,4.67,4.82,0.68,Firenze,Early Winter,2,private,"43.76196, 11.24245",2024-12-15
359058,2,2012-02-22,Superhost,7,Centro Storico,3,2,Entire home,5,214,62,4.92,4.9,4.93,4.95,4.97,4.68,4.85,0.44,Firenze,Early Winter,1,private,"43.76196, 11.24245",2024-12-15
150675,49,2011-06-21,Host,14,Centro Storico,1,1,Private room,2,63,788,4.75,4.82,4.76,4.89,4.88,4.9,4.74,5.29,Firenze,Early Winter,1,private,"43.77522, 11.25454",2024-12-15
160310,70,2011-07-02,Superhost,8,Centro Storico,1,1,Entire home,2,81,381,4.92,4.96,4.97,4.98,4.95,4.89,4.89,2.55,Firenze,Early Winter,1,private,"43.77521, 11.24534",2024-12-15
367374,6,2012-02-22,Superhost,7,Centro Storico,3,2,Entire home,4,213,93,4.84,4.94,4.86,4.89,4.96,4.7,4.74,0.66,Firenze,Early Winter,2,private,"43.76196, 11.24245",2024-12-15
367427,4,2012-02-22,Superhost,7,Centro Storico,3,2,Entire home,4,137,79,4.9,4.92,4.94,4.91,4.94,4.59,4.76,0.56,Firenze,Early Winter,1,private,"43.76196, 11.24245",2024-12-15
367487,3,2012-03-04,Host,1,Centro Storico,1,1,Entire home,2,119,48,4.79,4.81,4.71,4.96,4.98,4.96,4.69,0.72,Firenze,Early Winter,1,private,"43.76856, 11.26299",2024-12-15
160352,63,2011-07-02,Superhost,8,Centro Storico,1,1,Entire home,2,74,407,4.91,4.92,4.93,4.95,4.95,4.88,4.86,2.86,Firenze,Early Winter,1,private,"43.77586, 11.2443",2024-12-15
160366,44,2011-07-02,Superhost,8,Centro Storico,1,1,Entire home,2,85,669,4.82,4.88,4.87,4.96,4.96,4.85,4.82,4.51,Firenze,Early Winter,1,private,"43.77427, 11.24729",2024-12-15
369523,12,2012-03-05,Host,3,Gavinana Galluzzo,1,1,Entire home,2,76,46,4.62,4.56,4.84,4.82,4.8,4.64,4.61,0.33,Firenze,Early Winter,1,private,"43.76399, 11.27084",2024-12-15
372687,0,2012-11-15,Host,160,Centro Storico,2,,Entire home,6,208,10,4.2,4.1,4,4.5,4.9,4.7,4.3,0.08,Firenze,Autumn,1,private,"43.76976, 11.26376",2024-12-15
160399,26,2011-07-02,Superhost,8,Centro Storico,1,1,Entire home,2,75,470,4.81,4.89,4.9,4.91,4.93,4.97,4.81,3.15,Firenze,Early Winter,1,private,"43.76584, 11.2544",2024-12-15
161134,0,2011-08-19,Host,1,Isolotto Legnaia,1,1,Entire home,2,180,3,5,4.67,4.67,5,5,5,5,0.15,Firenze,Early Winter,1,private,"43.77278, 11.23709",2024-12-15
162132,0,2011-05-31,Host,2,Campo di Marte,2,1,Entire home,4,100,18,4.06,4.5,4.33,4.53,4.5,4.28,4.17,0.13,Firenze,Early Winter,1,private,"43.78933, 11.27226",2024-12-15
174420,36,2011-07-18,Superhost,1,Centro Storico,1,1,Entire home,6,84,160,4.68,4.81,4.85,4.81,4.82,4.78,4.67,1.07,Firenze,Early Winter,2,private,"43.77225, 11.24849",2024-12-15
379760,2,2012-03-12,Superhost,5,Campo di Marte,2,1,Entire home,4,186,106,4.79,4.89,4.91,4.92,4.89,4.64,4.68,0.93,Firenze,Early Winter,2,private,"43.78391, 11.28177",2024-12-15
181844,8,2011-06-05,Superhost,4,Centro Storico,2,1,Entire home,2,150,22,4.95,4.91,5,4.95,5,4.82,4.82,0.17,Firenze,Early Winter,1,private,"43.76506, 11.24467",2024-12-15
384095,3,2011-04-19,Host,1,Centro Storico,1,1,Private room,2,95,101,4.09,4.3,3.83,4.6,4.59,4.75,4.18,0.71,Firenze,Early Winter,1,private,"43.77516, 11.2525",2024-12-15
393927,12,2012-02-20,Superhost,7,Campo di Marte,3,2,Entire home,4,162,28,4.86,4.82,4.79,4.96,4.96,4.89,4.93,0.34,Firenze,Early Winter,2,private,"43.77696, 11.30987",2024-12-15
182984,6,2011-07-27,Superhost,1,Centro Storico,3,2,Entire home,3,146,17,4.47,4.47,4.47,4.71,4.65,5,4.65,0.15,Firenze,Early Winter,1,private,"43.76554, 11.2586",2024-12-15
393928,19,2012-02-20,Superhost,7,Campo di Marte,1,1,Entire home,2,180,91,4.82,4.8,4.75,4.89,4.86,4.83,4.79,0.68,Firenze,Early Winter,1,private,"43.7788, 11.31186",2024-12-15
189586,2,2011-08-03,Host,2,Campo di Marte,2,1,Entire home,4,140,46,4.53,4.52,4.5,4.57,4.74,4.67,4.24,0.35,Firenze,Early Winter,1,private,"43.77069, 11.27713",2024-12-15
396710,0,2011-08-23,Host,5,Centro Storico,2,1,Hotel room,3,69,49,4.61,4.73,4.86,4.83,4.96,4.76,4.59,0.53,Firenze,Early Winter,1,private,"43.78065, 11.24577",2024-12-15
396714,89,2011-08-23,Host,5,Centro Storico,1,1,Hotel room,2,50,421,4.5,4.69,4.74,4.82,4.83,4.55,4.51,3.01,Firenze,Early Winter,1,shared,"43.78049, 11.24462",2024-12-15
399107,8,2011-04-06,Host,44,Centro Storico,2,1,Entire home,2,140,50,4.57,4.62,4.46,4.84,4.82,4.92,4.48,0.35,Firenze,Early Winter,1,private,"43.76525, 11.25353",2024-12-15
191323,1,2011-08-03,Host,2,Centro Storico,2,1,Entire home,4,140,74,4.64,4.81,4.59,4.85,4.88,4.89,4.61,0.5,Firenze,Early Winter,1,private,"43.77178, 11.26133",2024-12-15
403424,1,2012-03-26,Host,1,Centro Storico,2,1,Entire home,2,50,128,4.56,4.67,4.63,4.86,4.91,4.91,4.65,0.91,Firenze,Early Winter,1,private,"43.76795, 11.25168",2024-12-15
193675,17,2011-08-08,Host,2,Centro Storico,1,1,Entire home,4,104,103,4.25,4.42,4.29,4.4,4.45,4.63,4.24,0.69,Firenze,Early Winter,1,private,"43.76778, 11.24119",2024-12-15
404451,0,2011-09-07,Host,3,Isolotto Legnaia,3,2,Entire home,6,91,117,4.48,4.57,4.7,4.51,4.44,4.07,4.44,0.83,Firenze,Early Winter,1,private,"43.77306, 11.19181",2024-12-15
197711,11,2010-11-21,Host,5,Centro Storico,2,1,Entire home,3,144,97,4.83,4.81,4.87,4.89,4.92,4.86,4.76,1.06,Firenze,Early Winter,2,private,"43.77249, 11.26121",2024-12-15
405278,7,2011-05-30,Superhost,8,Rifredi,2,1,Entire home,2,120,16,4.75,4.69,4.75,4.63,4.81,4.81,4.56,0.15,Firenze,Early Winter,1,private,"43.79713, 11.25299",2024-12-15
201931,3,2011-08-18,Superhost,3,Rifredi,2,1,Entire home,4,181,60,4.91,4.93,4.86,4.97,4.98,4.68,4.81,0.43,Firenze,Early Winter,1,private,"43.78437938421835, 11.253579331814272",2024-12-15
405633,4,2011-06-30,Superhost,15,Centro Storico,2,1,Hotel room,2,105,26,4.92,4.96,4.85,4.96,5,5,4.88,0.29,Firenze,Autumn,1,private,"43.76781, 11.25886",2024-12-15
406841,0,2012-03-28,Host,2,Centro Storico,3,2,Entire home,4,150,1,5,5,5,5,5,5,5,0.01,Firenze,Early Winter,1,private,"43.77676, 11.25516",2024-12-15
205228,42,2011-08-23,Host,5,Centro Storico,1,1,Hotel room,2,50,59,4.7,4.59,4.66,4.76,4.69,4.49,4.46,0.42,Firenze,Early Winter,1,shared,"43.77987, 11.24381",2024-12-15
209838,47,2011-08-29,Superhost,6,Centro Storico,2,1,Entire home,4,103,382,4.6,4.72,4.67,4.89,4.9,4.86,4.64,2.63,Firenze,Early Winter,1,private,"43.77318, 11.24431",2024-12-15
412264,1,2011-06-11,Superhost,9,Centro Storico,6,3,Entire home,7,181,24,4.87,4.79,4.79,4.92,4.92,4.83,4.75,0.17,Firenze,Early Winter,2,private,"43.77291, 11.26426",2024-12-15
212107,8,2011-06-15,Host,7,Centro Storico,4,2,Private room,2,69,10,4.6,4.8,4.3,4.3,4.5,5,4.5,0.1,Firenze,Early Winter,2,shared,"43.76499, 11.25764",2024-12-15
413600,23,2012-04-02,Host,4,Centro Storico,2,1,Entire home,2,114,127,4.67,4.72,4.64,4.76,4.69,4.9,4.63,0.91,Firenze,Early Winter,2,private,"43.76631, 11.24384",2024-12-15
423556,3,2012-04-10,Host,2,Centro Storico,4,2,Entire home,6,300,52,4.72,4.86,4.82,4.9,4.78,4.9,4.74,0.37,Firenze,Early Winter,2,private,"43.77345, 11.2436",2024-12-15
531876,38,2012-03-06,Host,1,Centro Storico,2,1,Entire home,4,150,171,4.9,4.96,4.96,4.88,4.88,4.97,4.86,1.23,Firenze,Early Winter,1,private,"43.76792, 11.24975",2024-12-15
424065,61,2012-04-10,Superhost,1,Centro Storico,1,1,Entire home,4,110,409,4.9,4.89,4.93,4.97,4.97,4.96,4.85,2.89,Firenze,Early Winter,1,private,"43.77258, 11.26095",2024-12-15
540731,54,2012-06-17,Host,1,Centro Storico,2,1,Entire home,4,200,572,4.77,4.82,4.78,4.82,4.81,4.97,4.74,4.19,Firenze,Early Winter,1,private,"43.77318, 11.25748",2024-12-15
429670,1,2011-10-09,Superhost,5,Centro Storico,3,2,Entire home,5,286,2,3.5,3.5,3.5,5,5,5,3.5,0.02,Firenze,Early Winter,1,private,"43.77109, 11.25798",2024-12-15
430349,19,2012-04-09,Host,2,Centro Storico,3,2,Entire home,5,104,122,4.7,4.73,4.74,4.89,4.88,4.64,4.54,0.87,Firenze,Early Winter,1,private,"43.77851, 11.25196",2024-12-15
546005,1,2012-06-19,Host,1,Centro Storico,2,1,Entire home,4,72,112,4.75,4.86,4.77,4.94,4.92,4.93,4.78,0.81,Firenze,Early Winter,1,private,"43.76655, 11.2531",2024-12-15
444641,20,2012-04-24,Host,1,Centro Storico,2,1,Entire home,4,103,139,4.59,4.73,4.72,4.51,4.68,4.92,4.54,0.99,Firenze,Early Winter,1,private,"43.76804, 11.25172",2024-12-15
547531,0,2012-06-20,Host,16,Centro Storico,1,1,Private room,2,195,259,4.6,4.71,4.64,4.8,4.85,4.74,4.66,1.86,Firenze,Early Winter,1,private,"43.77604, 11.25313",2024-12-15
